time,width,loc,scale,stat,pval
0,1.4776E+00,0.0000E+00,1.0000E+00,9.0964E-02,7.9614E-02
1,1.4355E+00,0.0000E+00,1.0000E+00,8.0290E-02,1.5530E-01
2,1.7040E+00,0.0000E+00,1.0000E+00,6.4434E-02,3.9570E-01
3,1.6699E+00,0.0000E+00,1.0000E+00,1.0066E-01,3.5774E-02
4,1.4011E+00,0.0000E+00,1.0000E+00,6.2203E-02,4.6221E-01
5,1.3314E+00,0.0000E+00,1.0000E+00,7.0190E-02,2.7669E-01
6,1.3722E+00,0.0000E+00,1.0000E+00,8.8683E-02,9.0389E-02
7,1.5215E+00,0.0000E+00,1.0000E+00,8.5114E-02,1.1027E-01
8,1.7582E+00,0.0000E+00,1.0000E+00,1.8241E-01,3.5241E-06
9,1.3478E+00,0.0000E+00,1.0000E+00,9.4185E-02,5.9934E-02
10,1.3806E+00,0.0000E+00,1.0000E+00,1.0163E-01,3.1766E-02
11,1.7822E+00,0.0000E+00,1.0000E+00,1.4180E-01,6.6853E-04
12,1.4713E+00,0.0000E+00,1.0000E+00,8.1252E-02,1.4229E-01
13,1.7015E+00,0.0000E+00,1.0000E+00,8.7327E-02,9.4775E-02
14,1.6398E+00,0.0000E+00,1.0000E+00,1.0375E-01,2.7286E-02
15,1.5469E+00,0.0000E+00,1.0000E+00,6.2524E-02,4.1455E-01
16,1.6763E+00,0.0000E+00,1.0000E+00,1.3936E-01,1.1993E-03
17,1.3671E+00,0.0000E+00,1.0000E+00,1.0026E-01,3.4071E-02
18,1.6144E+00,0.0000E+00,1.0000E+00,1.4781E-01,3.2023E-04
19,1.5988E+00,0.0000E+00,1.0000E+00,5.7695E-02,5.2221E-01
20,1.4521E+00,0.0000E+00,1.0000E+00,1.3244E-01,1.7887E-03
21,1.7380E+00,0.0000E+00,1.0000E+00,5.8098E-02,5.2665E-01
22,1.5837E+00,0.0000E+00,1.0000E+00,9.1639E-02,7.2169E-02
23,1.5893E+00,0.0000E+00,1.0000E+00,6.9657E-02,2.9919E-01
24,1.3849E+00,0.0000E+00,1.0000E+00,6.8816E-02,2.9850E-01
25,1.5529E+00,0.0000E+00,1.0000E+00,4.8246E-02,7.6001E-01
26,1.3315E+00,0.0000E+00,1.0000E+00,9.0297E-02,7.6878E-02
27,1.3938E+00,0.0000E+00,1.0000E+00,8.8375E-02,8.6729E-02
28,1.6446E+00,0.0000E+00,1.0000E+00,6.8358E-02,3.0891E-01
29,1.7756E+00,0.0000E+00,1.0000E+00,7.8418E-02,1.6819E-01
30,1.5641E+00,0.0000E+00,1.0000E+00,8.2119E-02,1.6252E-01
31,1.4048E+00,0.0000E+00,1.0000E+00,7.1785E-02,2.5290E-01
32,1.5732E+00,0.0000E+00,1.0000E+00,8.8484E-02,9.4558E-02
33,1.5296E+00,0.0000E+00,1.0000E+00,6.7060E-02,3.8940E-01
34,1.6788E+00,0.0000E+00,1.0000E+00,1.3278E-01,1.9195E-03
35,1.8482E+00,0.0000E+00,1.0000E+00,1.4710E-01,3.7961E-04
36,1.3222E+00,0.0000E+00,1.0000E+00,1.2614E-01,3.5397E-03
37,1.5534E+00,0.0000E+00,1.0000E+00,1.1728E-01,8.1030E-03
38,1.4123E+00,0.0000E+00,1.0000E+00,7.4162E-02,2.1319E-01
39,1.4014E+00,0.0000E+00,1.0000E+00,8.5891E-02,1.0156E-01
40,1.7773E+00,0.0000E+00,1.0000E+00,1.1268E-01,1.6353E-02
41,1.6138E+00,0.0000E+00,1.0000E+00,8.4225E-02,1.1705E-01
42,1.4205E+00,0.0000E+00,1.0000E+00,8.6019E-02,1.0369E-01
43,1.5477E+00,0.0000E+00,1.0000E+00,8.7555E-02,9.1863E-02
44,1.4064E+00,0.0000E+00,1.0000E+00,1.1365E-01,1.1327E-02
45,1.3659E+00,0.0000E+00,1.0000E+00,5.8051E-02,5.1026E-01
46,1.6649E+00,0.0000E+00,1.0000E+00,1.1238E-01,1.2696E-02
47,1.7050E+00,0.0000E+00,1.0000E+00,1.2793E-01,2.8608E-03
48,1.5624E+00,0.0000E+00,1.0000E+00,8.0313E-02,1.5112E-01
49,1.5680E+00,0.0000E+00,1.0000E+00,5.0780E-02,7.3367E-01
50,1.6954E+00,0.0000E+00,1.0000E+00,8.3774E-02,1.3690E-01
51,1.7527E+00,0.0000E+00,1.0000E+00,7.5845E-02,3.2712E-01
52,1.3370E+00,0.0000E+00,1.0000E+00,4.9125E-02,7.4477E-01
53,1.5234E+00,0.0000E+00,1.0000E+00,6.6789E-02,3.2999E-01
54,1.4333E+00,0.0000E+00,1.0000E+00,9.4708E-02,5.6626E-02
55,1.5744E+00,0.0000E+00,1.0000E+00,5.3288E-02,6.2375E-01
56,1.4421E+00,0.0000E+00,1.0000E+00,8.9615E-02,8.0710E-02
57,1.6468E+00,0.0000E+00,1.0000E+00,6.6496E-02,3.6620E-01
58,1.4921E+00,0.0000E+00,1.0000E+00,5.8505E-02,4.9617E-01
59,1.4503E+00,0.0000E+00,1.0000E+00,4.2532E-02,8.6629E-01
60,1.4320E+00,0.0000E+00,1.0000E+00,4.8638E-02,7.6277E-01
61,1.5927E+00,0.0000E+00,1.0000E+00,1.2870E-01,2.8254E-03
62,2.0555E+00,0.0000E+00,1.0000E+00,7.9954E-02,2.2702E-01
