time,width,loc,scale,stat,pval
0,2.6573E+00,0.0000E+00,1.0000E+00,2.3199E-01,1.0456E-02
1,2.4071E+00,0.0000E+00,1.0000E+00,1.2998E-01,3.5063E-01
2,2.6323E+00,0.0000E+00,1.0000E+00,2.7046E-01,4.8099E-04
3,2.6152E+00,0.0000E+00,1.0000E+00,2.1327E-01,2.1456E-02
4,2.7006E+00,0.0000E+00,1.0000E+00,2.3559E-01,1.2436E-02
5,2.4775E+00,0.0000E+00,1.0000E+00,1.2927E-01,3.4538E-01
6,2.4045E+00,0.0000E+00,1.0000E+00,1.9357E-01,2.0672E-02
7,2.6368E+00,0.0000E+00,1.0000E+00,2.7080E-01,6.3457E-04
8,2.4336E+00,0.0000E+00,1.0000E+00,1.8979E-01,3.5437E-02
9,2.4837E+00,0.0000E+00,1.0000E+00,1.7694E-01,8.1962E-02
10,2.3807E+00,0.0000E+00,1.0000E+00,2.2584E-01,4.8998E-03
11,2.5209E+00,0.0000E+00,1.0000E+00,2.9119E-01,2.9972E-04
12,2.2886E+00,0.0000E+00,1.0000E+00,1.3147E-01,4.0091E-01
13,2.5292E+00,0.0000E+00,1.0000E+00,2.3934E-01,2.3379E-03
14,2.7718E+00,0.0000E+00,1.0000E+00,2.8074E-01,4.7720E-04
15,2.6220E+00,0.0000E+00,1.0000E+00,2.3800E-01,2.8270E-03
16,2.5492E+00,0.0000E+00,1.0000E+00,2.0733E-01,2.1182E-02
17,2.3121E+00,0.0000E+00,1.0000E+00,1.3621E-01,2.4618E-01
18,2.5464E+00,0.0000E+00,1.0000E+00,2.4083E-01,3.4378E-03
19,2.8361E+00,0.0000E+00,1.0000E+00,3.4924E-01,1.2523E-05
20,2.4099E+00,0.0000E+00,1.0000E+00,1.7525E-01,4.9881E-02
21,2.6440E+00,0.0000E+00,1.0000E+00,2.2326E-01,1.3918E-02
22,2.4390E+00,0.0000E+00,1.0000E+00,1.9695E-01,3.2937E-02
23,2.6066E+00,0.0000E+00,1.0000E+00,2.4592E-01,3.3462E-03
24,2.3023E+00,0.0000E+00,1.0000E+00,1.3374E-01,2.6509E-01
25,2.6183E+00,0.0000E+00,1.0000E+00,2.8363E-01,1.2727E-04
26,2.4351E+00,0.0000E+00,1.0000E+00,2.8458E-01,1.0035E-05
27,2.4592E+00,0.0000E+00,1.0000E+00,2.5641E-01,3.2651E-03
28,2.6586E+00,0.0000E+00,1.0000E+00,3.0103E-01,9.3332E-05
29,2.5147E+00,0.0000E+00,1.0000E+00,2.6108E-01,7.4141E-04
30,2.5017E+00,0.0000E+00,1.0000E+00,2.0381E-01,2.2680E-02
31,2.6040E+00,0.0000E+00,1.0000E+00,2.0732E-01,3.8923E-02
32,2.4630E+00,0.0000E+00,1.0000E+00,1.3254E-01,4.4999E-01
33,2.5272E+00,0.0000E+00,1.0000E+00,2.2065E-01,1.4151E-02
34,2.5339E+00,0.0000E+00,1.0000E+00,2.2125E-01,1.1300E-02
35,2.5940E+00,0.0000E+00,1.0000E+00,2.1138E-01,3.0456E-02
36,2.6883E+00,0.0000E+00,1.0000E+00,2.7469E-01,1.7147E-03
37,2.5267E+00,0.0000E+00,1.0000E+00,2.2061E-01,1.0553E-02
38,2.2342E+00,0.0000E+00,1.0000E+00,1.0165E-01,8.0292E-01
39,2.5269E+00,0.0000E+00,1.0000E+00,1.8109E-01,7.0557E-02
