time,width,loc,scale,stat,pval
0,1.3765E+00,0.0000E+00,1.0000E+00,6.6490E-02,7.8974E-01
1,1.3301E+00,0.0000E+00,1.0000E+00,1.5035E-01,2.4370E-02
2,1.3188E+00,0.0000E+00,1.0000E+00,9.9990E-02,2.9143E-01
3,1.3643E+00,0.0000E+00,1.0000E+00,1.1538E-01,1.5133E-01
4,1.3203E+00,0.0000E+00,1.0000E+00,1.2779E-01,9.3654E-02
5,1.3916E+00,0.0000E+00,1.0000E+00,9.6644E-02,3.3019E-01
6,1.7143E+00,0.0000E+00,1.0000E+00,9.6825E-02,3.1591E-01
7,1.2711E+00,0.0000E+00,1.0000E+00,9.9209E-02,2.9430E-01
8,1.3321E+00,0.0000E+00,1.0000E+00,8.1763E-02,5.3950E-01
9,1.4651E+00,0.0000E+00,1.0000E+00,1.1591E-01,1.5185E-01
10,1.4362E+00,0.0000E+00,1.0000E+00,7.0306E-02,7.5440E-01
11,1.5392E+00,0.0000E+00,1.0000E+00,8.4122E-02,4.8643E-01
12,1.5226E+00,0.0000E+00,1.0000E+00,8.7809E-02,4.4994E-01
13,1.3925E+00,0.0000E+00,1.0000E+00,1.0390E-01,2.4511E-01
14,1.3334E+00,0.0000E+00,1.0000E+00,5.8908E-02,9.0351E-01
15,1.3657E+00,0.0000E+00,1.0000E+00,1.0702E-01,2.0637E-01
16,1.4055E+00,0.0000E+00,1.0000E+00,6.7425E-02,7.8081E-01
17,1.2783E+00,0.0000E+00,1.0000E+00,8.4252E-02,4.8435E-01
18,1.4424E+00,0.0000E+00,1.0000E+00,6.4394E-02,8.2572E-01
19,1.5225E+00,0.0000E+00,1.0000E+00,9.1414E-02,4.0470E-01
20,1.3791E+00,0.0000E+00,1.0000E+00,7.0287E-02,7.6230E-01
21,1.3805E+00,0.0000E+00,1.0000E+00,1.0116E-01,2.7309E-01
22,1.3156E+00,0.0000E+00,1.0000E+00,5.3451E-02,9.5525E-01
23,1.3228E+00,0.0000E+00,1.0000E+00,8.2743E-02,5.1592E-01
24,1.3564E+00,0.0000E+00,1.0000E+00,8.6635E-02,4.4716E-01
25,1.5639E+00,0.0000E+00,1.0000E+00,7.3025E-02,6.8504E-01
26,1.6283E+00,0.0000E+00,1.0000E+00,6.6963E-02,8.5573E-01
27,1.4596E+00,0.0000E+00,1.0000E+00,9.1936E-02,3.7145E-01
28,1.5158E+00,0.0000E+00,1.0000E+00,5.9198E-02,9.0033E-01
29,1.2956E+00,0.0000E+00,1.0000E+00,1.0381E-01,2.4076E-01
30,1.4570E+00,0.0000E+00,1.0000E+00,8.4265E-02,4.9811E-01
31,1.4462E+00,0.0000E+00,1.0000E+00,1.0756E-01,2.0179E-01
32,1.3857E+00,0.0000E+00,1.0000E+00,1.2473E-01,9.8436E-02
33,1.4373E+00,0.0000E+00,1.0000E+00,6.5651E-02,8.1765E-01
34,1.4750E+00,0.0000E+00,1.0000E+00,6.1904E-02,8.5980E-01
35,1.3807E+00,0.0000E+00,1.0000E+00,1.5143E-01,2.2882E-02
36,1.3043E+00,0.0000E+00,1.0000E+00,5.6484E-02,9.2803E-01
37,1.4059E+00,0.0000E+00,1.0000E+00,1.1083E-01,1.7549E-01
38,1.4357E+00,0.0000E+00,1.0000E+00,8.2046E-02,5.4198E-01
39,1.2991E+00,0.0000E+00,1.0000E+00,9.4699E-02,3.5435E-01
40,1.3663E+00,0.0000E+00,1.0000E+00,6.6847E-02,7.9495E-01
41,1.4057E+00,0.0000E+00,1.0000E+00,8.7724E-02,4.5123E-01
42,1.3904E+00,0.0000E+00,1.0000E+00,6.8966E-02,7.8951E-01
43,1.4224E+00,0.0000E+00,1.0000E+00,8.3192E-02,5.1561E-01
44,1.5583E+00,0.0000E+00,1.0000E+00,8.9477E-02,4.9143E-01
45,1.3856E+00,0.0000E+00,1.0000E+00,9.8303E-02,2.9300E-01
46,1.3757E+00,0.0000E+00,1.0000E+00,1.0700E-01,2.2133E-01
47,1.6462E+00,0.0000E+00,1.0000E+00,8.2534E-02,5.3375E-01
48,1.4485E+00,0.0000E+00,1.0000E+00,9.4914E-02,3.2713E-01
49,1.4025E+00,0.0000E+00,1.0000E+00,5.6454E-02,9.1963E-01
50,1.2383E+00,0.0000E+00,1.0000E+00,1.2297E-01,1.1030E-01
51,1.3913E+00,0.0000E+00,1.0000E+00,1.1598E-01,1.5553E-01
52,1.4360E+00,0.0000E+00,1.0000E+00,1.0140E-01,2.5954E-01
53,1.4768E+00,0.0000E+00,1.0000E+00,1.0664E-01,2.1947E-01
54,1.4266E+00,0.0000E+00,1.0000E+00,7.1162E-02,7.2956E-01
55,1.3976E+00,0.0000E+00,1.0000E+00,7.2611E-02,7.0802E-01
56,1.3495E+00,0.0000E+00,1.0000E+00,6.6531E-02,7.8911E-01
57,1.3364E+00,0.0000E+00,1.0000E+00,9.8790E-02,2.9322E-01
58,1.5442E+00,0.0000E+00,1.0000E+00,8.8537E-02,4.3226E-01
59,1.5642E+00,0.0000E+00,1.0000E+00,6.0202E-02,8.8129E-01
60,1.4595E+00,0.0000E+00,1.0000E+00,5.6069E-02,9.2058E-01
61,1.4226E+00,0.0000E+00,1.0000E+00,6.5581E-02,8.0853E-01
62,1.3874E+00,0.0000E+00,1.0000E+00,5.9668E-02,8.8018E-01
63,1.2554E+00,0.0000E+00,1.0000E+00,8.0918E-02,5.3258E-01
64,1.2687E+00,0.0000E+00,1.0000E+00,8.2876E-02,4.9978E-01
65,1.2489E+00,0.0000E+00,1.0000E+00,6.3017E-02,8.4038E-01
66,1.5756E+00,0.0000E+00,1.0000E+00,7.0930E-02,7.1240E-01
67,1.3756E+00,0.0000E+00,1.0000E+00,6.4866E-02,8.1894E-01
68,1.3944E+00,0.0000E+00,1.0000E+00,8.0540E-02,5.3905E-01
69,1.5668E+00,0.0000E+00,1.0000E+00,7.4024E-02,6.5111E-01
70,1.4565E+00,0.0000E+00,1.0000E+00,1.3570E-01,5.0977E-02
71,1.2986E+00,0.0000E+00,1.0000E+00,1.1610E-01,1.3158E-01
72,1.3480E+00,0.0000E+00,1.0000E+00,1.2216E-01,1.0470E-01
73,1.5980E+00,0.0000E+00,1.0000E+00,1.0848E-01,1.8514E-01
74,1.6230E+00,0.0000E+00,1.0000E+00,1.0506E-01,2.1903E-01
75,1.8644E+00,0.0000E+00,1.0000E+00,1.2639E-01,1.5178E-01
76,1.7761E+00,0.0000E+00,1.0000E+00,9.9794E-02,3.0557E-01
77,1.4139E+00,0.0000E+00,1.0000E+00,9.7524E-02,3.1965E-01
78,1.4828E+00,0.0000E+00,1.0000E+00,1.0670E-01,2.0923E-01
79,1.4911E+00,0.0000E+00,1.0000E+00,5.2811E-02,9.4960E-01
80,1.5369E+00,0.0000E+00,1.0000E+00,6.3418E-02,8.3480E-01
81,1.7669E+00,0.0000E+00,1.0000E+00,6.0291E-02,8.8406E-01
82,1.8377E+00,0.0000E+00,1.0000E+00,9.6887E-02,3.0929E-01
