time,width,loc,scale,stat,pval
0,1.6289E+00,0.0000E+00,1.0000E+00,6.9869E-02,7.8939E-01
1,1.5353E+00,0.0000E+00,1.0000E+00,8.2131E-02,6.1044E-01
2,1.6358E+00,0.0000E+00,1.0000E+00,7.3811E-02,7.7173E-01
3,1.5733E+00,0.0000E+00,1.0000E+00,9.5542E-02,4.0526E-01
4,1.8200E+00,0.0000E+00,1.0000E+00,6.3548E-02,9.0716E-01
5,1.5459E+00,0.0000E+00,1.0000E+00,5.0409E-02,9.8217E-01
6,1.6649E+00,0.0000E+00,1.0000E+00,6.1852E-02,9.1596E-01
7,1.7076E+00,0.0000E+00,1.0000E+00,8.1855E-02,6.2353E-01
8,1.5797E+00,0.0000E+00,1.0000E+00,1.1153E-01,2.2960E-01
9,1.6389E+00,0.0000E+00,1.0000E+00,9.3451E-02,4.4917E-01
10,1.5080E+00,0.0000E+00,1.0000E+00,7.8170E-02,6.5641E-01
11,1.4135E+00,0.0000E+00,1.0000E+00,9.8991E-02,3.4049E-01
12,1.4923E+00,0.0000E+00,1.0000E+00,8.4518E-02,5.4608E-01
13,1.5198E+00,0.0000E+00,1.0000E+00,6.2111E-02,8.9041E-01
14,1.7478E+00,0.0000E+00,1.0000E+00,5.6711E-02,9.4742E-01
15,1.5074E+00,0.0000E+00,1.0000E+00,1.0547E-01,2.7514E-01
16,1.4417E+00,0.0000E+00,1.0000E+00,1.1462E-01,1.9318E-01
17,1.5081E+00,0.0000E+00,1.0000E+00,6.2913E-02,8.8957E-01
18,1.4545E+00,0.0000E+00,1.0000E+00,7.5785E-02,7.0084E-01
19,1.5255E+00,0.0000E+00,1.0000E+00,1.0344E-01,2.7797E-01
20,1.4542E+00,0.0000E+00,1.0000E+00,1.0774E-01,2.5874E-01
21,1.5165E+00,0.0000E+00,1.0000E+00,1.4684E-01,4.8044E-02
22,1.5424E+00,0.0000E+00,1.0000E+00,7.9705E-02,6.5314E-01
23,1.6977E+00,0.0000E+00,1.0000E+00,4.5817E-02,9.9454E-01
24,1.5801E+00,0.0000E+00,1.0000E+00,9.0603E-02,4.5924E-01
