time,width,loc,scale,stat,pval
0,1.7824E+00,2.7650E-02,8.9630E-01,6.2065E-02,8.9092E-01
1,1.5924E+00,1.2415E-02,9.6021E-01,7.5456E-02,7.3170E-01
2,1.8004E+00,2.9892E-02,8.9108E-01,7.4768E-02,7.5326E-01
3,1.6776E+00,2.1943E-02,9.2566E-01,7.6351E-02,7.1476E-01
4,2.4057E+00,4.9285E-02,7.0015E-01,9.6735E-02,4.2791E-01
5,1.6301E+00,1.7051E-02,9.4321E-01,6.0248E-02,9.1723E-01
6,1.8981E+00,3.2159E-02,8.6008E-01,8.5482E-02,5.7907E-01
7,1.9689E+00,3.6816E-02,8.3805E-01,6.2245E-02,9.0465E-01
8,1.6538E+00,1.5970E-02,9.4409E-01,7.6988E-02,7.0284E-01
9,1.7651E+00,2.7168E-02,9.0228E-01,7.6558E-02,7.2777E-01
10,1.5316E+00,5.5053E-03,9.8245E-01,5.8462E-02,9.2746E-01
11,1.4723E+00,1.7300E-02,9.5423E-01,1.0256E-01,2.9964E-01
12,1.5205E+00,6.2201E-03,9.8070E-01,9.3344E-02,4.1300E-01
13,1.5926E+00,1.5470E-02,9.5048E-01,6.4028E-02,8.6795E-01
14,2.1370E+00,4.3754E-02,7.7890E-01,9.0876E-02,4.6286E-01
15,1.5323E+00,6.6330E-03,9.7892E-01,7.9048E-02,6.4853E-01
16,1.4869E+00,1.6045E-02,9.5705E-01,8.1178E-02,6.1067E-01
17,1.5101E+00,4.3864E-04,9.9861E-01,6.0725E-02,9.1258E-01
18,1.5194E+00,1.7634E-02,9.5113E-01,7.5628E-02,7.0382E-01
19,1.5115E+00,-1.8268E-03,1.0059E+00,7.5702E-02,6.8648E-01
20,1.5000E+00,1.3916E-02,9.6048E-01,7.8491E-02,6.6682E-01
21,1.5414E+00,9.1489E-03,9.7189E-01,1.0306E-01,3.1364E-01
22,1.6284E+00,1.9132E-02,9.3902E-01,7.1516E-02,7.8352E-01
23,1.9118E+00,2.4889E-02,8.7683E-01,6.6045E-02,8.5717E-01
24,1.6720E+00,1.5292E-02,9.4229E-01,1.0418E-01,2.8856E-01
25,1.4415E+00,6.0787E-03,9.8363E-01,1.1249E-01,2.1034E-01
26,1.5155E+00,4.1109E-03,9.8794E-01,1.1213E-01,2.0805E-01
27,2.3688E+00,5.0105E-02,7.1194E-01,7.7989E-02,6.8430E-01
28,1.7477E+00,1.2234E-02,9.5399E-01,5.6727E-02,9.4223E-01
29,1.5587E+00,-6.5683E-03,1.0243E+00,8.2846E-02,5.7400E-01
30,1.6497E+00,6.3755E-02,8.3259E-01,7.6281E-02,7.2447E-01
31,1.8885E+00,2.9889E-02,8.7100E-01,1.1038E-01,2.3410E-01
32,1.4893E+00,6.0337E-03,9.8216E-01,4.2157E-02,9.9782E-01
33,1.5404E+00,1.8354E-02,9.4795E-01,6.5769E-02,8.4599E-01
34,1.6359E+00,2.3448E-02,9.2685E-01,9.6896E-02,3.7320E-01
35,1.7177E+00,2.3228E-02,9.1790E-01,7.1858E-02,7.9352E-01
36,1.5477E+00,1.7782E-02,9.4846E-01,5.8124E-02,9.3910E-01
37,1.9886E+00,3.5488E-02,8.3647E-01,7.7116E-02,7.0044E-01
38,1.4156E+01,5.1828E-02,4.5787E+00,4.2419E-01,4.5939E-14
39,1.8852E+00,2.8381E-02,8.7244E-01,7.5349E-02,7.5062E-01
40,1.9519E+00,3.3823E-02,8.4512E-01,1.0816E-01,2.6073E-01
41,1.6569E+00,2.0449E-02,9.3251E-01,6.4713E-02,8.5948E-01
42,1.5991E+00,1.3780E-02,9.5340E-01,7.4614E-02,6.9944E-01
43,1.6337E+00,1.0715E-02,9.6081E-01,7.7753E-02,6.4039E-01
44,1.6922E+00,8.0195E-02,7.8347E-01,5.6777E-02,9.4440E-01
45,1.8953E+00,3.1584E-02,8.6092E-01,1.0950E-01,2.1989E-01
46,1.6212E+00,1.2575E-02,9.5588E-01,9.3324E-02,3.9910E-01
47,1.8568E+00,3.2062E-02,8.6922E-01,6.8435E-02,8.1537E-01
48,1.9678E+00,3.2417E-02,8.5181E-01,4.5040E-02,9.9598E-01
49,1.8986E+00,3.4392E-02,8.6215E-01,5.4340E-02,9.6701E-01
50,1.6650E+00,2.7385E-02,9.1574E-01,7.8975E-02,6.7466E-01
51,1.7232E+00,2.1754E-02,9.2040E-01,7.2813E-02,7.5032E-01
52,1.8397E+00,2.8102E-02,8.8580E-01,6.3092E-02,8.7488E-01
53,1.6238E+00,2.4943E-02,9.2571E-01,7.7388E-02,7.1227E-01
54,1.5993E+00,1.7815E-02,9.4506E-01,5.6345E-02,9.5703E-01
55,1.7137E+00,3.1896E-03,9.8619E-01,8.5917E-02,5.2339E-01
56,1.8528E+00,3.3376E-02,8.7285E-01,8.0100E-02,6.4607E-01
57,8.9010E+00,5.2175E-02,7.8524E+00,4.0223E-01,3.5455E-11
58,7.0149E+00,6.0158E-02,1.4801E+00,2.9622E-01,4.9834E-07
59,1.8102E+00,2.8963E-02,8.8734E-01,7.0110E-02,7.8588E-01
60,1.8531E+00,3.0378E-02,8.7866E-01,9.2258E-02,4.8236E-01
61,1.6778E+00,2.3215E-02,9.2410E-01,6.7080E-02,8.3378E-01
62,1.5664E+00,4.5081E-03,9.8475E-01,9.2295E-02,4.3491E-01
63,1.5366E+00,1.1769E-02,9.6484E-01,6.4775E-02,8.6336E-01
64,1.7089E+00,2.2181E-02,9.1956E-01,7.6376E-02,6.7377E-01
65,1.6706E+00,2.3537E-02,9.2201E-01,6.4081E-02,8.5822E-01
66,1.5683E+00,2.0640E-02,9.4067E-01,7.2440E-02,7.7380E-01
67,1.6003E+00,1.4390E-02,9.5254E-01,8.5336E-02,5.3274E-01
68,1.5112E+00,6.7015E-03,9.7957E-01,8.0493E-02,6.1469E-01
69,1.5557E+00,1.3306E-02,9.5906E-01,5.3077E-02,9.7035E-01
70,1.8273E+00,3.1164E-02,8.7692E-01,9.2103E-02,4.2301E-01
71,1.7585E+00,2.8011E-02,8.9469E-01,8.8196E-02,4.8016E-01
72,1.5025E+00,6.6981E-03,9.8004E-01,1.0864E-01,2.2750E-01
73,1.6793E+00,2.3090E-02,9.1981E-01,1.0509E-01,2.7295E-01
74,1.6432E+00,-9.0769E-03,1.0413E+00,9.0769E-02,4.4197E-01
75,1.7247E+00,3.0070E-02,8.9974E-01,8.6711E-02,5.5073E-01
76,1.7262E+00,2.5606E-02,9.0772E-01,1.1384E-01,1.9936E-01
