time,width,loc,scale,stat,pval
0,1.9054E+00,0.0000E+00,1.0000E+00,9.2430E-02,1.4980E-01
1,2.0466E+00,0.0000E+00,1.0000E+00,1.0649E-01,9.5220E-02
2,1.9557E+00,0.0000E+00,1.0000E+00,4.8557E-02,8.6607E-01
3,2.0475E+00,0.0000E+00,1.0000E+00,3.4537E-02,9.9541E-01
4,1.9082E+00,0.0000E+00,1.0000E+00,3.4393E-02,9.9479E-01
5,1.9457E+00,0.0000E+00,1.0000E+00,8.8604E-02,2.1587E-01
6,2.1042E+00,0.0000E+00,1.0000E+00,8.0285E-02,3.7374E-01
7,2.2808E+00,0.0000E+00,1.0000E+00,9.4257E-02,1.5592E-01
8,1.9645E+00,0.0000E+00,1.0000E+00,5.4131E-02,8.7661E-01
9,1.7808E+00,0.0000E+00,1.0000E+00,4.6559E-02,8.8320E-01
10,1.8714E+00,0.0000E+00,1.0000E+00,8.5390E-02,2.2796E-01
11,1.8360E+00,0.0000E+00,1.0000E+00,5.6526E-02,6.7578E-01
12,1.8687E+00,0.0000E+00,1.0000E+00,1.1152E-01,3.9079E-02
13,1.9436E+00,0.0000E+00,1.0000E+00,4.3430E-02,9.4437E-01
14,1.9168E+00,0.0000E+00,1.0000E+00,4.7687E-02,8.6755E-01
15,1.8411E+00,0.0000E+00,1.0000E+00,4.1183E-02,9.6107E-01
16,1.9663E+00,0.0000E+00,1.0000E+00,5.1395E-02,7.9814E-01
17,2.0292E+00,0.0000E+00,1.0000E+00,6.0756E-02,6.8883E-01
18,1.9113E+00,0.0000E+00,1.0000E+00,7.2677E-02,3.2999E-01
19,2.1334E+00,0.0000E+00,1.0000E+00,4.7432E-02,8.5177E-01
20,1.9405E+00,0.0000E+00,1.0000E+00,8.8242E-02,1.4423E-01
21,1.9927E+00,0.0000E+00,1.0000E+00,4.5325E-02,8.9752E-01
22,1.9708E+00,0.0000E+00,1.0000E+00,4.9040E-02,8.5273E-01
23,1.8440E+00,0.0000E+00,1.0000E+00,4.4211E-02,8.9386E-01
24,1.5912E+00,0.0000E+00,1.0000E+00,5.2508E-02,7.6973E-01
25,1.7116E+00,0.0000E+00,1.0000E+00,5.1204E-02,7.6109E-01
26,1.7856E+00,0.0000E+00,1.0000E+00,6.6385E-02,4.3931E-01
27,1.8720E+00,0.0000E+00,1.0000E+00,5.0638E-02,8.1861E-01
28,1.9230E+00,0.0000E+00,1.0000E+00,4.9975E-02,8.3362E-01
29,1.7300E+00,0.0000E+00,1.0000E+00,4.1872E-02,9.3147E-01
30,2.0751E+00,0.0000E+00,1.0000E+00,5.4494E-02,8.0707E-01
31,1.5210E+00,0.0000E+00,1.0000E+00,4.4232E-02,8.9553E-01
32,1.7081E+00,0.0000E+00,1.0000E+00,5.3213E-02,7.2923E-01
33,1.8124E+00,0.0000E+00,1.0000E+00,4.5284E-02,8.6779E-01
34,1.7798E+00,0.0000E+00,1.0000E+00,7.3620E-02,3.0491E-01
35,1.8354E+00,0.0000E+00,1.0000E+00,9.6065E-02,9.2400E-02
36,1.9117E+00,0.0000E+00,1.0000E+00,8.6211E-02,1.4631E-01
37,1.9836E+00,0.0000E+00,1.0000E+00,9.3349E-02,9.8629E-02
38,1.8002E+00,0.0000E+00,1.0000E+00,4.8600E-02,8.2511E-01
39,1.8416E+00,0.0000E+00,1.0000E+00,4.1403E-02,9.3266E-01
